,beer/name,beer/beerId,beer/brewerId,beer/ABV,beer/style,review/appearance,review/aroma,review/palate,review/taste,review/overall,review/time,review/profileName,review/text
10,Caldera Ginger Beer,52159,1075,4.7,Herbed / Spiced Beer,4,5,4,4,5,1283154365,MadeInOregon,"OK, so the only reason I bought this while shopping at Whole Foods was because I've never had a ""ginger beer"" unless it was ginger ALE...and we all know that's not the kind of ""beer"" we're interested in on this site! I was very excited to try this one!...		When poured out it looks like a cheapo macro lager at first sight, then the slowly fading head suggests otherwise. The body is crystal clear and is a very light straw color. The head is bright white and slowly dissipates, but is initially quite thick.		Smell is adjuncty, but there are slight notes of honey and some kind of herby thing going on...ginger perhaps? Can't really tell. From the smell there is obviously something different about this beer though. It has a unique spicy smell to it and reminds me a lot of basil, not ginger. I really can't quite place everything that I smell, but it is a very nice aroma. Superb fragrance for this beer, though definitely not a ""ginger beer"" based on the smell.		The taste is very unique also. It's kind of like a spiced pilsner or kolsch but the ""spice"" is kind of hard to identify. It does not taste like ginger. This beer actually reminds me a lot of Bison's Honey Basil ale. There is some definite astringent burn in the upper throat after swallowing that is no doubt from the ginger, but that is the only ginger I can detect with any certainty. It is only slightly hoppy and malty.		This a very enjoyable, very drinkable beer (I could easily drink 2 22oz'ers) but I think it's failing in its claim to be a ""ginger"" beer because I don't smell it, can barely taste it, and can only really detect the ginger's physiological effects of a warm throat and stomach. So, rating this one is hard; I've never had a ginger beer so I don't really know what one ought to taste like...but then again I can't really tell if I'm tasting ginger here or the combination of other things. So confused. My recommendation to you Caldera folks: ADD MORE GINGER! There's obviously enough of a curiosity about this style to not hurt sales if it was strengthened. I for one could handle it."
11,Caldera Ginger Beer,52159,1075,4.7,Herbed / Spiced Beer,4,4,3.5,4,4,1277557990,rawthar,"Notes from 6/24		A: Bright golden glowing beer in a moment of clarity with a lively white head of feathery fluff		S: The ginger is definitely there, or am I smelling my Indian dinner? Almost cake-like in its malt aroma, sharply bready with a slight edge of sweetness		T: Nice clear malty throat taste, reminds me of strands of complex sugars and grains, ginger is more subtle than I expected, more of an undertone than a backbone		M: A refreshing light beer feel, like a pilsner or summer ale		D: If this was a sixer instead of a double-deuce, I could see this being a fine picnic pounder		Overall, pretty impressed for the particular style"
12,Caldera Ginger Beer,52159,1075,4.7,Herbed / Spiced Beer,3,4.5,2.5,3,4,1275779250,Halcyondays,"22 oz. bomber,		A: Pours a clear yellow with a mild white head, good retention.		S: Great nose of ginger, honey, perfume.		T: Rather light upfront, it reminds me of Lawnmower, with a hint of ale fruitiness/Kolsch-like almost. Good ginger honey notes on the back end, not taking over the beer in any way. The ginger flavour is clear, but I wanted it to come out a little more in the end.		M: Very light-bodied, watery, light base beer for sure.		D: An easy drinking spiced beer, this will offend no one, but there's not a complexity to this brew at all."
13,Caldera Ginger Beer,52159,1075,4.7,Herbed / Spiced Beer,3,4,3,4,3.5,1273109020,RangerClegg,"Is it possible for a bottle to be a novelty product? I bought it cause it's the only bottle of Caldera I've ever seen, so I guess so. Stoked to be the first to review a beer! That's a lot of responsibility so I might as well give it a thorough review. Poured into my New Belgium Tulip.		A - Clear golden color with a bright white 1"" head that slowly fades to a ring around the top. Lacing is minimal, but still there and fighting to cling to the glass		S - Smell is of ginger and honey. Very appealing.		T - First hit is of ginger. Not too strong or biting but just the right amount. Fades to a sweetness on the tongue that is sort of perfect and then... a little bit of bite from the hops making their presence known.		M - Medium bodied and full. A nice round beer for the summer. Not too heavy, definately not watery. Not very good at describing it other than it's good.		D - I really like this beer and I could probably put 2 or 3 glasses away, so one bomber is enough for me. I think 2 bombers would be too much, but I could probably drink one and half, so I think I'll have to stick with the one.		Overall this is a pretty good ginger beer. I think that for my money though, I'd rather buy Trade Route's Ginger Pale Ale. If you've never had a ginger beer, Pick it up."
14,Caldera Oatmeal Stout,10789,1075,7.2,Oatmeal Stout,2.5,3,3,3,3,1316025612,Beerandraiderfan,"Brown in color, somewhere between a porter and a brown ale. Lacking in aroma, but no off stuff. 		Same with the taste, lacking flavor, complexity, just went with smoothness. No off flavors though, so I can't say this is bad, just unadventurous, especially for Caldera, whom I think is generally underrated. You really have to search to pull anything out of this in terms of the usual chocolate/coffee flavors, really, the only thing I can tell is that the oats did their job, because this is smooth and unoffensive.		Other than that, extremely pedestrian."
15,Caldera Oatmeal Stout,10789,1075,7.2,Oatmeal Stout,2.5,1.5,2.5,2,2,1103502339,RedDiamond,"Caldera presents yet another circumstance where the brewery does not operate a brewpub, doesnt bottle their beers, and is located 300 miles from my home. To review their beers I traveled to their hometown of Ashland, OR and drank at the Ashland Creek Bar and Grill. This may have been a mistake. 			Though I had other reasons to visit Ashland, its disappointing (to say the least) to travel 300 miles and be served a spoiled beer. Both the Oatmeal Stout and Ashland Amber were of poor quality at the Ashland Creek Bar and Grill. In the case of the Oatmeal Stout, a nice measure of cream and a wayward thread of mint were marred by a sulfuric smell and likely bacterial infection. Though I cant say for certain, my best guess is that the house tap lines were something other than sanitized. 			I will attempt to revisit and re-evaluate this beer. But for the time being, its important to ask a pertinent question about quality control. Caldera is a 10 bbl microbrewery in a small town. How much responsibility do they have towards assuring that taps serving their product in their hometown are kept reasonably clean and free of bacterial encroachment? My answer to this question is that the brewery does have some responsibility to assure quality pours in its own hometown. This is especially so when they operate no pub of their own. Not only does this effort protect the consumer from being served a spoiled beer, but the enforcement of quality control measures at the point of consumption simply makes good business sense. 			Till then, theres nothing I really care say about this beer other than to wish whoever pursues it greater luck than I had at Ashland Creek."
16,Caldera OBF 15,12386,1075,5.6,American Pale Lager,4,3,4,4,4,1062311123,beerguy101,"More of a 'dry' than a lager, tasted at the 2002 Oregon Brewers Festival. Orange color, orange flavor in nose. Light malts and fairly aggressively hopped; yet it is not very bitter. Interesting taste, complex and subtle. Light yet flavorful. Mouthfeel is full and round. Finish is clean and smooth. Aftertaste is slightly bitter. Nice beer. Would be a great beer to sip during a hot summer day."
17,Rauch Ür Bock,58046,1075,7.4,Rauchbier,3,4.5,4,4.5,4.5,1325478004,UCLABrewN84,"Pours a murky light brown with a 1 inch fizzy tan head that settles to a film on the top of the beer. Small dots of lace slowly drip back into the remaining beer on the drink down. Smell is of smoked meat, smoked cheese, campfire smoke, etc. Taste is of smoked meat/cheese, campfire smoke, wood, and a slight cocoa/coffee flavor on the finish. The aftertaste is also cocoa/coffee with just a hint of the smoke flavors. This beer has a crisp level of carbonation with a bubbly mouthfeel. Overall this is a very good rauchbier from Caldera that has a bit of a different flavor than German rauchbiers."
18,Rauch Ür Bock,58046,1075,7.4,Rauchbier,4,4,3,4,4,1325360812,zaphodchak,"Faint sudsy head with some with some dissipating fine surface. Light ruddy brown. Some lace.		Smokiness in the nose along with pickling vinegar (faint), and some slightly musty malt.		Plenty of bitter, slightly tangy, tannic beech smoke. Traces of sweet toffee on the finish.		Feel is standard, smooth, but went flat quite fast."
19,Rauch Ür Bock,58046,1075,7.4,Rauchbier,4,4.5,3.5,4,4,1322506304,Tilley4,"A new arrival to the West TN area... 		Pours quite a bit lighter than I was expecting. Almost like a brown ale? Good head retention though...		Smoky bacon aromas upfront mesh with a sweet maltiness... This is definitely very smoky but not overpoweringly so... Its subtle at times and powerful at others on the nose... Like being in a smokehouse after the meat has already been removed... Very interesting...		Sweet caramel malts surprise me as I thought the smoke would hit hard right off the bat... The smokiness here is beautifully done... Not a smoke bomb but rather the smoked meat flavors run parallel to the sweetness darting in and out, here and there...		Very good example from Caldera here. Excellent use of the smoke with its subtleties..."
20,Rauch Ür Bock,58046,1075,7.4,Rauchbier,4.5,5,4,4.5,4.5,1320494397,mikedrinksbeer2,"Sampled 10/30/11 - Transferring the notes.		A ruby pour with a half finger, off white head. Opaque. Smells like bacon it's so smoky. Very much a wood smoked scent, great on an autumn night. The flavor is full but not overbearing, smoky with a hint of sweetness. I dig this a lot, will seek out other rauchbiers for some comparison."
21,Rauch Ür Bock,58046,1075,7.4,Rauchbier,4,4.5,4,4.5,4,1320140421,dbmernin83,"This is my first rauchbier. 	Pours a burnt amber. Good head.	Holy smoked meat! This has huge beef jerky on the nose. Salty smoked meat goodness.	Tastes about the same as it the nose. Wood, smoked meat, cured meat, soy sauce. 	This is delicious for the first 6-8oz, then it gets to be a little much. I imagine after having this a few times, you appreciate the flavors more. Maybe I should've picked a tamer rauchbier to be my first"
22,Rauch Ür Bock,58046,1075,7.4,Rauchbier,4,4.5,4,4.5,4.5,1319847514,titosupertramp,"A: Pours a rich, ruby color, clear. Maybe a finger of off-white head. Thin cap with thick ring of bubbles around the edge of the glass. Light lacing.		S: Wow. Smoked meat balanced by caramel, bready sweetness. I wish they would make this smell into a cologne..no shit, I'd wear it to special occasions. 		T: Taste is equally as good. Smoked meat with just a hint of peet. The nice thing about this beer is the smoked characteristics don't overpower the rest of the beer. The caramel, bready malts hold up nicely and there seems to a slightly hoppy finish. 		M: A little on the light side, but it's still manages to be somewhat creamy. 		O: I had heard some good things about this beer and it certainly lived up to my expectations. It's a very well crafted beer where the smoke asserts itself, but doesn't drown out everything else. I'll pick this up again without a doubt."
23,Rauch Ür Bock,58046,1075,7.4,Rauchbier,3.5,5,3.5,5,5,1318802642,optimator13,"Pours a mahogany color, rich, with a tan head. a finger, didn't stick around. 		Holy smokes! This is one of the most smokiest beer I've ever had! BUT. It's balance and not one sided. Smoke, cured bacon, rich caramel malts. More smoke. Ok, maybe it one sided, but it's heavenly. 		Rich caramel malts and salty cured bacon strips. Bacon lover right here, so, I don't feel the need to go on. 		Lighter, but medium in body. feels fine. Nothing tremendous.		Aroma and flavor alone are mouthwatering. Bravo. More please!!!"
24,Rauch Ür Bock,58046,1075,7.4,Rauchbier,4,4.5,4,4.5,4.5,1318290101,Blakaeris,"Pours light caramel brown with reddish highlights. The crisp white head doesn't hang around long, but quickly dissipates to a thin ring.		Aroma is intense meaty smokyness. Underneath is a mild malty sweetness.		Taste is really interesting. The smoked meat quality is retained, but there is also a generous earthy, woody character. Caramel and toffee really round things out. Finishes with a mildly dry cedar character.		Mouthfeel is a chewy, medium body.		A flavorful brew. Strong smokiness is tempered by the rich caramel malt qualities. A real winner that could bring the non-smoke lover around."
25,Rauch Ür Bock,58046,1075,7.4,Rauchbier,4,5,4,4,4.5,1318289482,bashiba,"Poured a slightly cloudy deep amber/red color with a thin soap ring of head.		The smell is amazing, big bacony smoked pork Rauch goodness.		The taste follows the flavors nicely with a big smoked malt flavor with a nice bit of underlying sweetness, very pork like and very flavorful. Has a nice light bitterness in the finish that helps even it out very well.		The mouthfeel is very slick and oily.		Great Rauchbier!"
26,Rauch Ür Bock,58046,1075,7.4,Rauchbier,3.5,4.5,4,4.5,4.5,1316405909,Klym,"Big thanks to N2168 for knocking this off my wants. Poured into a stone nonic and shared with my buddy Ryan. 		This was quite delicious. The pour made it seem a little lacking in carbonation, and while indeed it was light in carbonation I think it would have been awkward if it had been heavier considering the taste profile. This beer does such a good job of hitting the sweet and savory side of smoke. Nice big campfire smoke smell and taste without any roughness to it, with a nice smoked bacon savory sweetness. This is easy to drink and just downright delicious, would love to have a keg of this by my desk."
27,Rauch Ür Bock,58046,1075,7.4,Rauchbier,4,4.5,4,4,4.5,1315696563,flexabull,"On tap last night at the Caldera Tap House.		Pours a bright and clear brown color, with a small white head.		Aromas are quite potent. Lots of interesting smoke notes here, smoked meat, charred wood, like a camp out in a glass. Very nice.		Flavor is like the nose, but toned down just a bit. Light caramel, bready, and slightly sweet up front. Beer then settles Into a smoke house flavor, hints of charred wood, and jerky.		Mouthfeel is good, full, smooth, but not heavy at all.		Overall, this is a really well made smoked lager. The nose is wonderfull. But the beer turns out to be plenty drinkable, I usually am a one and done with smoked beers, not this one. Another great offering from Caldera."
28,Rauch Ür Bock,58046,1075,7.4,Rauchbier,4,4.5,4,5,5,1315014054,Bung,"22 oz. Think I picked this up in Chicago Binny's Oak Park.	Solid amber/brown pour, half finger of off white head disappated to a ring, but lasted.		Smoked malt, peat, canadian bacon and some malty caramel. Starting out real well.		Taste, solid dose of smoked ham, bacon, peat and a woodiness. Caramelly malt body is there, almost some faint raisin or apple cider, then finishes with solid bbq.	The real deal, far far and away the best American version I've had of this style. So few try this style, even less accomplish the task.		Lighter side of medium bodied. Coats well, goes down smooth, no alcohol. 7.4 is a little larger than some for the style, but it doesn't show itself.		Best brew I've had in a while. First I've had from this brewery, if their others are even close to as good as this I won't be disapointed."
29,Rauch Ür Bock,58046,1075,7.4,Rauchbier,4.5,4,4,4,4,1314752229,oberon,"Poured into a 1/2 liter stein a deep rich amber/bronze with a fluffy one finger head that took its time fading.Sweet smoke,brown,sugar,a bit of alcohol in the nose,mellow and sweetish,I found it appetizing.Cherry wood sweetness and light peppery spice in the nose,its gentle sweet smoke instead of in your face,mellow but assertive enough.A real nice smoked bock beer,I will grab a few of these this fall while eating alot of smoked meat off my smoker."
30,Rauch Ür Bock,58046,1075,7.4,Rauchbier,4,4.5,4,4,4.5,1312403394,t420o,"A- Semi aggressive pour produces a 1-1/2 finger very light brown head that rests atop a beautiful deep copper colored beer with nice clarity. Nicve lacing.		S- Very similar to a smoked porter but more smoke. The smoke smell is beautiful. It smells like a campfire and the cherry wood is definitely present. Excellent smelling beer. 		T- WOW! They were not kidding on the bottle when they said it has an intense smoke flavor. It is excellent and I could see some folks that the smoke is too in-your-face, but I love smoked beers and I love this one. This is as smoked wood forward as I've ever had. It's pretty much smoky wood, a slight malt sweetness, and finishes woody and smokey again. This is a perfect fall beer. 		M- Nice smooth mouthfeel with good carbonation. 		O- Not too complex because of the intense smoke taste but it works excellent in this beer. I will definitely be picking this up again."
31,Rauch Ür Bock,58046,1075,7.4,Rauchbier,4,4,4,4,4,1312162337,DarthKostrizer,"Look: Burnt orange in color with 1/4 inch head and no retention but did have some lacing		Smell: This beer smells like a campfire in a bottle also reminds me of burnt oak chips or smoked salmon		Taste: The flavor is this beer is quite unique. The smokiness is there in abundance and is pretty much just liquid smoke. Again the taste does follow suite with the noise there is a big smoked salmon flavor		Mouthfeel: Medium body and medium carbonation		Overall: If you love the idea of smoked anything actually you will love this beer. It is hands down one of the most smoky beers I have had to the point where it almost looses balance like say Alaskan smoked porter or Ass kisser smoked porter. However if you are into smoked beers this one is a must try"
32,Rauch Ür Bock,58046,1075,7.4,Rauchbier,3,4,4,4,4,1312070406,MrVonzipper,"Bottleshare from Darthkostrizer with BHOBS and Alucard4	Pours a hazy reddish brown with a very quick dissipating bubbly head. No retention obviously. 		Holy shit. Smells exactly like uncooked applewood smoked bacon and/or smoked salmon(not fishy). Very nice yet strong smoke. 		Tastes just like it smells. Very strong different smoky flavor but Good. 		Good carbonation. Smooth and Medium bodied.		Overall at some point in trying this beer You Will Say Holy Shit! It is Unlike any any beer I've had and any smoked beer for that matter. Its very interesting but Good. Although it very hard to drink alot of it. Definitely a bottleshare."
33,Rauch Ür Bock,58046,1075,7.4,Rauchbier,3,4.5,2,3,3,1311558510,Beerandraiderfan,"Amber to yeloowcolored, was expecting darker, kind of even had a good degree of clarity to it. Holy cherry wood campfire smoke! This smelled just like you were out in the woods.		Whoa, I could only take a small sip at first, massive liquid smoke feeling in the mouthfeel. Ugh. Its not so much as 'bad' as opposed to 'challenging'. I must admit, I could not even finish a taster of it. This is the most intense smoked beer I've ever come across, by far. I mean, beer geek bacon was a walk in the park compared to this. 		I could smell it all day. As far as drinking it, I'm cool with 1oz at a time, its that intense. If you like smoked beers, then check this out. If not, stay away. I kind of like them, trying to get into them more, so I'd try it again next time, but for now, I'm not worthy."
34,Rauch Ür Bock,58046,1075,7.4,Rauchbier,4.5,4.5,4,3.5,4,1309310508,TheWhiskerReview,"Pours a brilliant black with ruby tones and a 1-finger tan head. Weak retention and lace, as expected from such a malty brew.		The nose is a smoky, malty blast of barbequed pulled pork, woodsmoke and brown sugar with undertones of baked apples and peaches. Nothing over-the-top here- good balance and elegance in the aromas. And I dunno if it's just me and my mental associations, but I could swear I smelled the BBQ sauce in this too.		The palate, much like the nose, is hugely smoky- more bbq and toffee flavors- with a medium-body and a slight creaminess from the malt. The hoppiness is mild while the smoke, naturally, is what lingers on the nice finish.		A wonderful effort overall. I wouldn't go so far as to say world class, but the brew does have a nice bit of elegance which always gets more points from me. And the smokiness carries a lot of power without being too heavy."
35,Rauch Ür Bock,58046,1075,7.4,Rauchbier,4.5,3.5,4,3.5,3.5,1307850875,Elimination,"I have been thinking of picking up a bottle of this for a while		pours a deep deep red, glowing, standing out a lot		smell of slight smoke, peat, a bit of cherry, bbq		Taste is mostly peated malt smoke, a lot of it...i was expecting more smokey, not peated. still a bit of darker, roasted fruits, a bit of burnt sugar, some peanut but overall makes it pretty unique.		Mouthfeel is really smooth, lower carbed tickles the tongue just right, goes down well		Overall its not bad, but as far as a rauch, feels like to much of that peated taste, dont know if I would pick it amongst other smoked beers."
36,Rauch Ür Bock,58046,1075,7.4,Rauchbier,4,4,4.5,4.5,4.5,1306128988,DoubleJ,"""Warning, this beer has an intense smoke flavor."" Warning...'cuz the flavor may cause me to overdose? I'll leave it at that and hope I don't O.D. off this 22 ounce bottle. On to the beer:		The chestnut colored body is a looker in the stange glass. On top, the head has a beige color, a somewhat creamy texture, several groupings of lace sticking around and retention. The rauch part is done extremely well; mouth-watering jerkied meats stand out above with a little sweetness and a kiss of leafy hop. 		There's a lot of meat on the bones of this beer. Loads and loads and maltiness and medium smokiness make this a winner. The two run in sperate stages and never cross into each other's territory, which in this case I adore. Its got the smokiness that I would find in a summer sausage. On the malty side, there's loads of caramel. Little notes of ash give me the impression that I'm at a campfire. Hints of brown sugar. Alcohol slowly gets noticed, but in a good way; here it brings notes of raisin. There is a moderate hoppiness that can be sensed for a brief second, catch it before the smoke and malt beat it down. On the fuller side in terms of mouthfeel, quite smooth with the bubbles very small yet enough to be felt. 		If I hadn't stuffed myself with Chinese food earlier in the night, I may have been more tempted to overdose on Rauch Ur Bock. Only kidding, I have a good idea when to stop. Warning, you may be temped buy more bottles after you try your first. In short, superb."
37,Rauch Ür Bock,58046,1075,7.4,Rauchbier,3.5,4.5,4,5,5,1305926255,Deuane,"A-Bright, crystal clear, copper with a medium tan head that slowly fades to a thin cap and leaves light lace.		S-Campfire smoke with a subtle hit of applewoods smoked bacon. Sweet caramel malt and spicy pepper notes accent in the background.		T-Yes, this is a smoked brew but it never comes off as over the top. In fact it is about as perfect as it can get. Dry, woody smokiness and spicy, herbal hops dominate. Caramel malt sweetness provides a healthy backbone with tones of toasted biscuit, apple and buckwheat honey.		M-Medium bodied with a feel that is bigger than it really is. Smooth and slick with a drying, woody astringency in the finish. Nice lingering sweet smokiness.		D-Simply put---&gt;OUTSTANDING! Quite possibly one of the finest Rauch beers I have had the pleasure of imbibing! This is a beer I wish I would have tried sooner so I could have gone out and stocked up on. Well done Caldera, this is a beer you should be VERY proud of!"
38,Rauch Ür Bock,58046,1075,7.4,Rauchbier,4,4,4,4,4,1305856857,Mattybeerguy,"Overall a really nice and interesting beer. I saw this on the shelf and hadn't tried anything yet from this brewery but looked interesting. Figured I would try it. It was really a nice beer. It definitely had a lot of smoky and meaty flavor to it! Very interesting and nice beer overall, I would drink it again."
39,Rauch Ür Bock,58046,1075,7.4,Rauchbier,3.5,4,4,4,4,1305469906,micromaniac129,"Amber brown in color with very little head but a nice ring.	Nicely carbonated.		Smells like a camp fire, malts have a good sweet character with an abundance of smoke.		Taste is quite good with smokiness being pungent but not overwelming.	A sweet tasting bock with smokiness coming through around mid drink with a smooth mellow finish.		A good warming smoky beer."
40,Rauch Ür Bock,58046,1075,7.4,Rauchbier,3.5,5,3.5,4,3.5,1305329412,beagle75,"Poured from a bomber into a shaker pint glass.		A: Clear, dark amber color with one finger of diminishing off-white foam head. Light lacing remains on the glass.		S: Sweet woodsmoke is intense, developing fruity and savory complexity that distinguishes itself above the Bavarian archetypes.		T: Begins off-dry, with caramel and sharp woodsmoke that becomes more dry by the middle. Acidity flares early but remains mild overall. Smoke nearly persists throughout, but diminishes by the clean, short finish.		M: Thin to medium viscosity, wet on the palate but becoming a bit too insubstantial, with moderate carbonation.		D/O: This Oregon-brewed rauchbeer develops some of the most intense woodsmoke essence encountered thus far, but it may be at the expense of the strong lager that is its base. Deciphels of the imports from Bamberg would find this beer's intensity surprising--if not off-putting--but it does struggle to leave any impression other than aggressively pungent woodsmoke."
41,Rauch Ür Bock,58046,1075,7.4,Rauchbier,3.5,4,4,4,4,1302401846,northyorksammy,"Complex enjoyable smoked. Tasty rich malt,caramel, woody,spicey, and balanced. Leans a tad to sweetness rather than bitterness. The smoke is significant in the aroma but not overwhelming. Above average mouthfeel. Yellow coloured body. Most drinkable.Thanks Augustgarage."
42,Rauch Ür Bock,58046,1075,7.4,Rauchbier,4,4,4.5,4,4.5,1301454480,vette2006c5r,"This beer pours a dark amber color, with a perfect size head that did dispate quickly. The smell is strongly of malts, and a smokyness. The taste starts off very malty, smoked flavors, then finishs with a smoked sausage like flavor. The aftertaste is strongly of a smoked meat; and the flavor stays on your palette for some time, also nicely carbonated. Overall fantastic beer, very odd, but still enjoyable."
43,Rauch Ür Bock,58046,1075,7.4,Rauchbier,4,3.5,3,3.5,4,1301023832,EvanEngelstad,"This is the first Rauchbier that I have reviewed. I had it at the Bier Stein in Eugene, OR. 		-a dark but translucent amber with a small head that remains on the edge, with slight lacing in the middle	-aroma: smoked bacon, smoky wood flavor (cherry, beechwood), smoke in general	-medium carbonation	-crisp lager flavor at the beginning that is then overwhelmed by the smoky flavor, some caramel undertones, feels like you're exhaling a campfire	-smoky flavor remains in your mouth indefinitely? My friend could still smell smoke on my breath an hour later on the way home even though I was in the back seat and had a breathmint! 	-leaves a dry, spinach-like feeling in the mouth		The smoke was pretty intense. I enjoyed it okay, but I'll have to try some other Rauchbier to compare..."
